Feature,Data Quality Issue,Evidence,Handling Strategy,Justification
A5,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A6,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A7,Cardinality,Cardinality > 95%,Remove the feature,"Near uniqueness of observations suggest some time of identifier, not a predictive feature"
A8,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A9,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A11,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A12,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A15,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A16,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A23,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A26,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A30,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A31,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A32,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A33,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A34,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A36,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A37,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A38,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A39,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A40,Cardinality,Cardinality > 95%,Remove the feature,"Near uniqueness of observations suggest some time of identifier, not a predictive feature"
A43,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A44,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A45,Cardinality,Cardinality < 5%,Encode the features using integers,Too many categories for one-hot encoding
A5,Skewness,Skewness = 0.35 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A6,Skewness,Skewness = 0.44 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A7,Skewness,Skewness = 0.01 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A8,Skewness,Skewness = 0.14 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A9,Skewness,Skewness = 0.29 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A10,Skewness,Skewness = 1.65 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A11,Skewness,Skewness = -2.17 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A12,Skewness,Skewness = 1.48 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A13,Skewness,Skewness = 1.13 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A15,Skewness,Skewness = 0.22 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A16,Skewness,Skewness = 0.38 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A19,Skewness,Skewness = 0.40 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A20,Skewness,Skewness = 0.27 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A21,Skewness,Skewness = 0.33 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A22,Skewness,Skewness = 0.44 (moderate skew),Do nothing,Moderate skew is common and usually not severe enough to require transformation
A23,Skewness,Skewness = 2.87 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A24,Skewness,Skewness = 2.21 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A25,Skewness,Skewness = 2.20 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A26,Skewness,Skewness = 2.81 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
A27,Skewness,Skewness = 1.49 (|skew| > 1 = highly skewed),Apply a log transformation to the feature,Log transformation will reduce skewness and make the distribution more symmetric
